x,y,z,|F|^2,Fx,Fy,Fz
0.1523896276,-0.1523896276,-1.981065158,1.619231349e-06,-2.060685967e-05,-7.188397019e-05,0.001270291069
0.4571688827,-0.1523896276,-1.981065158,1.467834351e-06,-0.0001001394916,-8.993358595e-05,0.001204042517
0.7619481378,-0.1523896276,-1.981065158,1.669376773e-06,-0.0001552177435,-0.0005929305784,0.001137417054
1.066727393,-0.1523896276,-1.981065158,1.810804795e-07,-0.0002901394221,-0.0001287537368,0.0002834114862
1.371506648,-0.1523896276,-1.981065158,2.406418512e-05,0.0008996853678,0.004819250067,-0.0001719888079
-1.371506648,0.1523896276,-1.981065158,2.406418512e-05,-0.0008996853678,-0.004819250067,-0.0001719888078
-1.066727393,0.1523896276,-1.981065158,1.810804795e-07,0.0002901394221,0.0001287537368,0.0002834114862
-0.7619481378,0.1523896276,-1.981065158,1.669376773e-06,0.0001552177435,0.0005929305784,0.001137417054
-0.4571688827,0.1523896276,-1.981065158,1.467834351e-06,0.0001001394916,8.993358595e-05,0.001204042517
-0.1523896276,0.1523896276,-1.981065158,1.619231349e-06,2.060685969e-05,7.18839702e-05,0.001270291069
0.1523896276,0.1523896276,-1.981065158,1.619231349e-06,-2.060685967e-05,7.18839702e-05,0.001270291069
0.4571688827,0.1523896276,-1.981065158,1.467834351e-06,-0.0001001394916,8.993358595e-05,0.001204042517
0.7619481378,0.1523896276,-1.981065158,1.669376773e-06,-0.0001552177435,0.0005929305784,0.001137417054
1.066727393,0.1523896276,-1.981065158,1.810804795e-07,-0.0002901394221,0.0001287537368,0.0002834114862
1.371506648,0.1523896276,-1.981065158,2.406418512e-05,0.0008996853678,-0.004819250067,-0.0001719888079
-1.066727393,0.4571688827,-1.981065158,1.212915532e-05,-0.002019902079,-0.002837102539,-3.124437351e-07
-0.7619481378,0.4571688827,-1.981065158,2.923813149e-07,0.000271484876,-0.000433387867,-0.0001756480396
-0.4571688827,0.4571688827,-1.981065158,1.604024284e-06,0.0001346789697,-6.622432057e-05,0.001257577114
-0.1523896276,0.4571688827,-1.981065158,1.815079281e-06,8.289192772e-05,0.000117883039,0.001339519242
0.1523896276,0.4571688827,-1.981065158,1.815079281e-06,-8.28919277e-05,0.0001178830391,0.001339519242
0.4571688827,0.4571688827,-1.981065158,1.604024284e-06,-0.0001346789696,-6.622432056e-05,0.001257577114
0.7619481378,0.4571688827,-1.981065158,2.923813149e-07,-0.0002714848759,-0.000433387867,-0.0001756480396
1.066727393,0.4571688827,-1.981065158,1.212915532e-05,0.002019902079,-0.002837102539,-3.12443758e-07
-1.066727393,0.7619481378,-1.981065158,7.240924316e-05,-0.001351625381,-0.008394195467,0.0003461711261
-0.7619481378,0.7619481378,-1.981065158,9.158496319e-06,0.0003463951237,-0.002990832983,0.0003056547179
-0.4571688827,0.7619481378,-1.981065158,7.187175854e-06,5.847114859e-05,-0.002680076457,-3.077599927e-05
-0.1523896276,0.7619481378,-1.981065158,2.414542923e-06,-2.002880742e-05,0.0001872437652,0.001542427159
