 >TARPBXN : slab+disk; XS2,XS3,YS,ZS= 15.0000  0.0000 24.0000 24.0000
      9312 = NAT 
  1.000000  0.000000  0.000000 = A_1 vector
  0.000000  1.000000  0.000000 = A_2 vector
  1.000000  1.000000  1.000000 = lattice spacings (d_x,d_y,d_z)/d
   0.50000   0.50000   0.50000 = lattice offset x0(1-3) = (x_TF,y_TF,z_TF)/d for dipole 0 0 0
     JA  IX  IY  IZ ICOMP(x,y,z)
    256   3  -2   4 1 1 1
    257   4  -2   4 1 1 1
    258   5  -2   4 1 1 1
    259   0  -2   5 1 1 1
    260   1  -2   5 1 1 1
    261   2  -2   5 1 1 1
    262   3  -2   5 1 1 1
    263   4  -2   5 1 1 1
    264   5  -2   5 1 1 1
    265   0  -1  -6 1 1 1
    266   1  -1  -6 1 1 1
    267   2  -1  -6 1 1 1
    268   3  -1  -6 1 1 1
    269   4  -1  -6 1 1 1
    270   5  -1  -6 1 1 1
    271   0  -1  -5 1 1 1
    272   1  -1  -5 1 1 1
    273   2  -1  -5 1 1 1
    274   3  -1  -5 1 1 1
    275   4  -1  -5 1 1 1
    276   5  -1  -5 1 1 1
    277   0  -1  -4 1 1 1
    278   1  -1  -4 1 1 1
    279   2  -1  -4 1 1 1
    280   3  -1  -4 1 1 1
    281   4  -1  -4 1 1 1
    282   5  -1  -4 1 1 1
    283   0  -1  -3 1 1 1
    284   1  -1  -3 1 1 1
    285   2  -1  -3 1 1 1
    286   3  -1  -3 1 1 1
    287   4  -1  -3 1 1 1
    288   5  -1  -3 1 1 1
    289   0  -1  -2 1 1 1
    290   1  -1  -2 1 1 1
    291   2  -1  -2 1 1 1
    292   3  -1  -2 1 1 1
    293   4  -1  -2 1 1 1
    294   5  -1  -2 1 1 1
    295   0  -1  -1 1 1 1
    296   1  -1  -1 1 1 1
    297   2  -1  -1 1 1 1
    298   3  -1  -1 1 1 1
    299   4  -1  -1 1 1 1
    300   5  -1  -1 1 1 1
    301   0  -1   0 1 1 1
    302   1  -1   0 1 1 1
    303   2  -1   0 1 1 1
    304   3  -1   0 1 1 1
    305   4  -1   0 1 1 1
    306   5  -1   0 1 1 1
    307   0  -1   1 1 1 1
    308   1  -1   1 1 1 1
    309   2  -1   1 1 1 1
    310   3  -1   1 1 1 1
    311   4  -1   1 1 1 1
    312   5  -1   1 1 1 1
    313   0  -1   2 1 1 1
