x,y,z,|F|^2,Fx,Fy,Fz
-1.4,-0.6,-2.6,3.275840933e-07,-0.0004358866262,6.279707397e-05,-0.000365572797
-1,-0.6,-2.6,9.88577248e-07,5.85314548e-05,-0.0002788244538,-0.0009525797819
-0.6,-0.6,-2.6,5.244432705e-07,-7.626373463e-06,-0.0003960519524,-0.0006062408432
-0.2,-0.6,-2.6,7.825839567e-07,4.936002751e-05,-0.000361225089,-0.0008060173568
0.2,-0.6,-2.6,7.825839567e-07,-4.936002751e-05,-0.000361225089,-0.0008060173568
0.6,-0.6,-2.6,5.244432705e-07,7.626373458e-06,-0.0003960519524,-0.0006062408432
1,-0.6,-2.6,9.88577248e-07,-5.85314548e-05,-0.0002788244538,-0.0009525797819
1.4,-0.6,-2.6,3.275840933e-07,0.0004358866262,6.279707398e-05,-0.000365572797
-1.8,-0.2,-2.6,1.786949261e-06,-0.0002365071083,0.001315220749,-3.47567327e-05
-1.4,-0.2,-2.6,9.230259305e-08,0.000178487911,-0.0002022625469,-0.0001397659501
-1,-0.2,-2.6,7.639305392e-08,2.75586687e-05,-0.0002654795539,-7.179261915e-05
-0.6,-0.2,-2.6,2.849763018e-07,9.034755255e-05,-0.000144609201,-0.0005058673744
-0.2,-0.2,-2.6,6.295075364e-07,3.860210852e-05,-0.0001204721132,-0.0007832648872
0.2,-0.2,-2.6,6.295075364e-07,-3.860210852e-05,-0.0001204721132,-0.0007832648872
0.6,-0.2,-2.6,2.849763018e-07,-9.034755255e-05,-0.000144609201,-0.0005058673744
1,-0.2,-2.6,7.639305392e-08,-2.75586687e-05,-0.0002654795539,-7.179261914e-05
1.4,-0.2,-2.6,9.230259305e-08,-0.000178487911,-0.0002022625469,-0.0001397659501
1.8,-0.2,-2.6,1.786949261e-06,0.0002365071083,0.001315220749,-3.475673269e-05
-1.8,0.2,-2.6,1.786949261e-06,-0.0002365071083,-0.001315220749,-3.47567327e-05
-1.4,0.2,-2.6,9.230259305e-08,0.000178487911,0.0002022625469,-0.0001397659501
-1,0.2,-2.6,7.639305392e-08,2.75586687e-05,0.0002654795539,-7.179261915e-05
-0.6,0.2,-2.6,2.849763018e-07,9.034755255e-05,0.000144609201,-0.0005058673744
-0.2,0.2,-2.6,6.295075364e-07,3.860210852e-05,0.0001204721132,-0.0007832648872
0.2,0.2,-2.6,6.295075364e-07,-3.860210852e-05,0.0001204721132,-0.0007832648872
0.6,0.2,-2.6,2.849763018e-07,-9.034755255e-05,0.000144609201,-0.0005058673744
1,0.2,-2.6,7.639305392e-08,-2.75586687e-05,0.0002654795539,-7.179261914e-05
1.4,0.2,-2.6,9.230259305e-08,-0.000178487911,0.0002022625469,-0.0001397659501
1.8,0.2,-2.6,1.786949261e-06,0.0002365071083,-0.001315220749,-3.475673269e-05
-1.4,0.6,-2.6,3.275840933e-07,-0.0004358866262,-6.279707397e-05,-0.000365572797
-1,0.6,-2.6,9.88577248e-07,5.85314548e-05,0.0002788244538,-0.0009525797819
-0.6,0.6,-2.6,5.244432705e-07,-7.626373462e-06,0.0003960519524,-0.0006062408432
-0.2,0.6,-2.6,7.825839567e-07,4.936002751e-05,0.000361225089,-0.0008060173568
0.2,0.6,-2.6,7.825839567e-07,-4.936002751e-05,0.000361225089,-0.0008060173568
0.6,0.6,-2.6,5.244432705e-07,7.626373459e-06,0.0003960519524,-0.0006062408432
1,0.6,-2.6,9.88577248e-07,-5.85314548e-05,0.0002788244538,-0.0009525797819
1.4,0.6,-2.6,3.275840933e-07,0.0004358866262,-6.279707398e-05,-0.000365572797
